"time","faces","appearance__gender","appearance__glasses","appearance__age","appearance__ethnicity","emotions__joy","emotions__sadness","emotions__disgust","emotions__contempt","emotions__anger","emotions__fear","emotions__surprise","emotions__valence","emotions__engagement","expressions__smile","expressions__innerBrowRaise","expressions__browRaise","expressions__browFurrow","expressions__noseWrinkle","expressions__upperLipRaise","expressions__lipCornerDepressor","expressions__chinRaise","expressions__lipPucker","expressions__lipPress","expressions__lipSuck","expressions__mouthOpen","expressions__smirk","expressions__eyeClosure","expressions__attention","expressions__lidTighten","expressions__jawDrop","expressions__dimpler","expressions__eyeWiden","expressions__cheekRaise","expressions__lipStretch","emoji"
"4.43","1","Unknown","Yes","Unknown","Unknown","0","0","0","0","0","0","0","13","1","13","1","0","0","0","0","0","0","0","0","0","0","1","1","96","0","0","0","0","0","0","ðŸ˜"
"5.84","1","Unknown","Yes","Unknown","Unknown","41","0","0","0","0","0","4","44","74","57","0","0","0","2","0","0","33","64","0","8","66","0","0","96","8","100","0","0","0","0","ðŸ˜œ"
"6.14","1","Unknown","Yes","Unknown","Unknown","97","0","0","0","0","0","0","85","99","87","0","0","0","2","1","0","1","0","0","0","14","0","0","99","2","10","0","0","0","0","ðŸ˜œ"
"6.39","1","Unknown","Yes","Unknown","Unknown","99","0","0","0","0","0","0","95","100","98","0","1","0","1","4","0","0","0","0","0","3","0","2","98","0","3","0","0","0","0","â˜º"
"6.51","1","Unknown","Yes","Unknown","Unknown","100","0","0","0","0","0","0","80","100","99","0","1","0","7","30","0","0","0","0","0","3","0","85","99","0","0","0","0","0","0","â˜º"
"6.85","1","Unknown","Yes","Unknown","Unknown","100","0","63","0","0","0","0","15","100","100","0","1","0","71","94","0","0","0","6","0","1","0","2","99","0","0","0","0","0","0","â˜º"
"7.20","1","Unknown","Yes","Unknown","Unknown","99","0","83","0","0","0","1","9","100","97","0","20","0","76","100","0","0","0","0","0","1","2","90","99","0","0","0","0","0","0","â˜º"
"7.35","1","Unknown","Yes","Unknown","Unknown","99","0","82","0","0","0","1","10","100","98","0","22","0","76","100","0","0","0","0","0","1","1","7","98","0","0","0","0","0","0","â˜º"
"7.54","1","Male","Yes","Unknown","Unknown","97","0","94","0","0","0","1","2","100","94","0","35","0","84","100","0","0","0","0","0","0","1","0","98","0","0","0","0","0","0","â˜º"
"7.89","1","Male","Yes","Unknown","Unknown","54","0","9","0","0","0","0","-5","94","70","0","9","0","30","100","0","31","0","0","0","0","0","0","99","1","1","0","3","0","0","â˜º"
"8.42","1","Male","Yes","Unknown","Unknown","11","0","1","0","0","0","0","-5","69","56","0","1","4","12","86","0","11","0","20","7","1","44","5","83","0","54","54","0","1","0","â˜º"
"8.95","1","Male","Yes","Unknown","Unknown","84","0","0","0","0","0","0","75","98","77","1","0","0","1","3","0","0","3","0","0","0","6","0","99","0","0","0","0","0","7","â˜º"
"10.50","1","Male","Yes","Unknown","Unknown","99","0","0","0","0","0","0","69","100","98","0","0","0","0","0","0","0","8","88","10","0","1","18","86","0","0","70","0","0","10","â˜º"
"10.71","1","Male","Yes","Unknown","Unknown","99","0","0","0","0","0","0","66","100","96","0","0","0","0","0","0","0","15","91","17","0","3","0","97","0","1","4","0","4","5","â˜º"
"10.84","1","Male","Yes","Unknown","Unknown","97","0","0","0","0","0","0","61","100","89","1","0","0","0","0","0","0","18","78","15","0","7","0","99","0","1","3","0","2","1","â˜º"
"10.98","1","Male","Yes","Unknown","Unknown","94","0","0","0","0","0","0","62","99","84","0","0","0","0","0","0","0","10","60","15","0","2","0","91","1","0","3","0","2","2","â˜º"
